Day,AnimalsCount,GrassCount,FreeFields,AvgAnimalEnergy,AvgDaysAlive,AvgChildCount,MostPopularGen
128,274,3202,1798,85.81132075471699,16.102602689979776,1.849056603773585,[4  1  4  4  4  4  3  0  2  0]
129,270,3207,1793,86.66030534351145,16.474752615258115,1.8358778625954197,[4  1  4  4  4  4  3  0  2  0]
130,271,3219,1781,88.10810810810811,16.40833834533121,1.8494208494208495,[4  1  4  4  4  4  3  0  2  0]
131,276,3230,1770,86.86311787072243,16.542704038334197,1.8517110266159695,[4  1  4  4  4  4  3  0  2  0]
132,274,3240,1760,86.28301886792453,16.478252975061775,1.8679245283018868,[4  1  4  4  4  4  3  0  2  0]
133,275,3243,1757,86.37735849056604,16.667484458657647,1.7962264150943397,[1  2  6  6  2  1  5  6  3  3]
134,276,3253,1747,86.21722846441948,16.668848351902973,1.801498127340824,[1  2  6  6  2  1  5  6  3  3]
135,275,3247,1753,86.9245283018868,16.6640667456739,1.818867924528302,[1  2  6  6  2  1  5  6  3  3]
136,276,3262,1738,87.9245283018868,16.70454255589907,1.8377358490566038,[1  2  6  6  2  1  5  6  3  3]
137,271,3266,1734,87.07865168539325,16.921778192079827,1.8239700374531835,[6  0  4  0  1  3  2  6  5  5]
138,260,3275,1725,91.23046875,17.130607008911493,1.7734375,[6  0  4  0  1  3  2  6  5  5]
139,262,3284,1716,93.01587301587301,17.1515938746753,1.7777777777777777,[6  0  4  0  1  3  2  6  5  5]
140,263,3299,1701,92.33333333333333,17.254862376324308,1.7529411764705882,[6  0  4  0  1  3  2  6  5  5]
141,262,3306,1694,90.9073359073359,17.284455988351535,1.7644787644787645,[6  0  4  0  1  3  2  6  5  5]
142,266,3309,1691,92.36328125,17.360502515183747,1.76953125,[6  0  4  0  1  3  2  6  5  5]
143,266,3308,1692,92.32558139534883,17.41315347337277,1.7829457364341086,[6  0  4  0  1  3  2  6  5  5]
144,261,3314,1686,93.92578125,17.496697974738673,1.796875,[6  0  4  0  1  3  2  6  5  5]
145,254,3320,1680,97.47983870967742,17.84041339228001,1.7096774193548387,[6  0  4  0  1  3  2  6  5  5]
146,263,3320,1680,96.22529644268775,17.828454627608192,1.7193675889328064,[6  0  4  0  1  3  2  6  5  5]
147,265,3319,1681,95.27131782945736,17.857419794037675,1.7325581395348837,[2  6  0  7  2  7  6  5  2  5]
148,269,3332,1668,95.03831417624521,17.90253069526662,1.7279693486590038,[2  6  0  7  2  7  6  5  2  5]
149,265,3339,1661,95.40384615384616,17.94587612867131,1.7461538461538462,[2  6  0  7  2  7  6  5  2  5]
150,267,3348,1652,95.40229885057471,17.98610286535788,1.7471264367816093,[2  6  0  7  2  7  6  5  2  5]
151,268,3359,1641,96.37065637065638,18.167206775024223,1.6795366795366795,[2  6  0  7  2  7  6  5  2  5]
152,268,3369,1631,95.78544061302682,18.324142840785697,1.6398467432950192,[2  6  0  7  2  7  6  5  2  5]
